order	family	genus	species	binomial	bmass	blength	homerangekm2	homerangeindkm2	popdens.n-km2	gr_area-km2	gr_maxlat-dd
Rodentia	Cricetidae	Peromyscus	melanotis	Peromyscus melanotis	39.59	-999	0.000513365	0.000442831	2045.14	495038.61	30.18
Rodentia	Muridae	Mus	musculus	Mus musculus	19.3	-999	0.0005162	0.000617242	4981.53	-999	-999
Rodentia	Cricetidae	Microtus	arvalis	Microtus arvalis	26.9	113.66	0.000531047	0.000677284	17600	7769079.85	63.12
Rodentia	Cricetidae	Microtus	oregoni	Microtus oregoni	20.35	99.22	0.000533681	0.000663792	551.7	206882.62	49.37
Rodentia	Caviidae	Galea	spixii	Galea spixii	360.61	-999	0.000535015	0.000682344	-999	5441291.73	2.11
Didelphimorphia	Didelphidae	Monodelphis	americana	Monodelphis americana	19.5	107	0.000536788	0.000463036	-999	1022061.77	-0.53
Rodentia	Muridae	Gerbilliscus	brantsii	Gerbilliscus brantsii	89.41	-999	0.000541371	0.00069045	-999	2097491.88	-15.97
Lagomorpha	Ochotonidae	Ochotona	cansus	Ochotona cansus	68.75	134.5	0.000567109	0.00060909	-999	767181.2	39.57
Rodentia	Cricetidae	Microtus	townsendii	Microtus townsendii	52.02	138.02	0.000576965	0.000618272	34348.94	214060.15	50.87
Afrosoricida	Chrysochloridae	Chrysospalax	trevelyani	Chrysospalax trevelyani	434.04	234.94	0.000602526	0.000615355	1000	43844.11	-30.48
Rodentia	Muridae	Aethomys	hindei	Aethomys hindei	140.65	-999	0.000609998	0.000777976	2191.47	2209180.32	10.07
Rodentia	Cricetidae	Oligoryzomys	longicaudatus	Oligoryzomys longicaudatus	27.54	-999	0.000641437	0.000819928	361.16	912835.74	-12.59
Rodentia	Cricetidae	Microtus	agrestis	Microtus agrestis	35.87	-999	0.000683908	0.000761362	1948.7	9734297.52	71.13
Didelphimorphia	Didelphidae	Thylamys	elegans	Thylamys elegans	28.9	120.71	0.000705614	0.000708921	703.01	-999	-999
Rodentia	Heteromyidae	Dipodomys	elator	Dipodomys elator	105.82	119.5	0.00073307	0.000841884	1284.37	12077.2	34.36
Rodentia	Cricetidae	Myopus	schisticolor	Myopus schisticolor	29.99	-999	0.000766498	0.000719112	-999	12452109.42	72.55
Rodentia	Heteromyidae	Dipodomys	stephensi	Dipodomys stephensi	68.49	116.5	0.000790491	0.000943018	3379.99	8439.21	34.09
Diprotodontia	Tarsipedidae	Tarsipes	rostratus	Tarsipes rostratus	9.66	77.34	0.000814137	0.000872424	29699.99	211836.34	-27.47
Rodentia	Cricetidae	Synaptomys	cooperi	Synaptomys cooperi	28.01	105.5	0.000847162	0.0012	1144.96	3222697.98	51.3
Rodentia	Cricetidae	Microtus	miurus	Microtus miurus	41	119.36	0.000871042	0.000801402	-999	1425664.82	70.88
Rodentia	Cricetidae	Microtus	mexicanus	Microtus mexicanus	34.88	111.23	0.000876185	0.000755801	1483.67	606483.23	31.3
Rodentia	Muridae	Acomys	cahirinus	Acomys cahirinus	41.16	-999	0.000880412	0.000810023	2366.22	-999	-999
Rodentia	Cricetidae	Peromyscus	leucopus	Peromyscus leucopus	18.07	94.41	0.000886749	0.000938873	1444.64	5841433.18	51.13
Rodentia	Muridae	Mastomys	natalensis	Mastomys natalensis	41.85	119.66	0.000918251	0.000861482	1305.24	1375775.65	13.98
Rodentia	Caviidae	Cavia	aperea	Cavia aperea	524.38	-999	0.000921587	0.001175368	1806.97	6171299.51	10.58
Rodentia	Muridae	Millardia	meltada	Millardia meltada	67.17	-999	0.000926123	0.001107405	-999	1468438.13	34.29
Rodentia	Muridae	Rattus	exulans	Rattus exulans	50.63	119.9	0.000935769	0.000786766	7154.76	1877248.56	24.67
Rodentia	Cricetidae	Myodes	glareolus	Myodes glareolus	20.73	106.38	0.000951778	0.001213873	3704.05	8269299.06	68.29
Rodentia	Sciuridae	Spermophilus	mollis	Spermophilus mollis	165.4	-999	0.000957999	0.001357	2179.42	364932.53	47.09
Rodentia	Muridae	Mus	booduga	Mus booduga	13.78	-999	0.000967874	0.001157329	-999	3533802.08	33.58
Lagomorpha	Ochotonidae	Ochotona	collaris	Ochotona collaris	129	187.44	0.001003006	0.001388578	733.17	1151823.27	69.45
Rodentia	Cricetidae	Reithrodontomys	megalotis	Reithrodontomys megalotis	10.72	69.62	0.001008937	0.001115263	1152.39	5125874.07	50.61
Rodentia	Cricetidae	Microtus	xanthognathus	Microtus xanthognathus	92.65	156.36	0.001022511	0.001304084	1000	2255416.57	70.57
Rodentia	Muridae	Grammomys	poensis	Grammomys poensis	50.03	111.65	0.001024808	0.001225407	-999	-999	-999
Rodentia	Heteromyidae	Heteromys	desmarestianus	Heteromys desmarestianus	74	-999	0.001025001	0.001307261	656.45	479714.68	18.88
Rodentia	Muridae	Zyzomys	argurus	Zyzomys argurus	40.42	107.83	0.001039588	0.000956472	535.51	886980.7	-11.11
Rodentia	Echimyidae	Proechimys	guyannensis	Proechimys guyannensis	314.03	220.16	0.001047581	0.001252639	938.91	3070982.77	8.63
Rodentia	Cricetidae	Microtus	pinetorum	Microtus pinetorum	25.95	99.05	0.001048491	0.001293333	1460	2752944.64	45.78
Rodentia	Muridae	Rattus	niobe	Rattus niobe	45.07	115.43	0.001058952	0.0015	-999	-999	-999
Soricomorpha	Talpidae	Scapanus	orarius	Scapanus orarius	62.13	123.44	0.001058952	0.0015	4999.99	351196.84	49.78
